split_seed,method,scope,precision,recall,f1,auroc,n,positives
20260400,LSTM Autoencoder,intermittent_software_hang,0.1016949152542373,0.7741935483870968,0.1797752808988764,0.893288877209119,1995,31
20260401,Isolation Forest,all_faults,0.456043956043956,0.4911242603550296,0.4729344729344729,0.8330252308116666,2400,169
20260401,Isolation Forest,motor_stall,0.175,0.7241379310344828,0.2818791946308724,0.9634151996166864,2260,29
20260401,Isolation Forest,gradual_sensor_drift,0.2204724409448819,0.8,0.345679012345679,0.9206377665364666,2266,35
20260401,Isolation Forest,accelerated_battery_degradation,0.0294117647058823,0.0769230769230769,0.0425531914893617,0.6119137100759692,2270,39
20260401,Isolation Forest,gps_jitter_spoofing,0.01,0.0357142857142857,0.015625,0.7443971313312416,2259,28
20260401,Isolation Forest,intermittent_software_hang,0.2325581395348837,0.7894736842105263,0.3592814371257485,0.9450565005072072,2269,38
20260401,One-Class SVM,all_faults,0.4822485207100592,0.9644970414201184,0.6429980276134122,0.978458461856731,2400,169
20260401,One-Class SVM,motor_stall,0.142156862745098,1.0,0.2489270386266094,0.9961204964528044,2260,29
20260401,One-Class SVM,gradual_sensor_drift,0.1626794258373205,0.9714285714285714,0.2786885245901639,0.9767304860088364,2266,35
20260401,One-Class SVM,accelerated_battery_degradation,0.1784037558685446,0.9743589743589745,0.3015873015873015,0.9836338769552576,2270,39
20260401,One-Class SVM,gps_jitter_spoofing,0.1206030150753768,0.8571428571428571,0.211453744493392,0.9310046743932894,2259,28
20260401,One-Class SVM,intermittent_software_hang,0.1784037558685446,1.0,0.3027888446215139,0.9962254358442048,2269,38
20260401,LOF,all_faults,0.5290322580645161,0.970414201183432,0.6847599164926931,0.9814448903163864,2400,169
20260401,LOF,motor_stall,0.1657142857142857,1.0,0.284313725490196,0.9964450764308568,2260,29
20260401,LOF,gradual_sensor_drift,0.1888888888888888,0.9714285714285714,0.3162790697674418,0.9810206825894858,2266,35
20260401,LOF,accelerated_battery_degradation,0.2065217391304347,0.9743589743589745,0.3408071748878923,0.9883230470411106,2270,39
20260401,LOF,gps_jitter_spoofing,0.1461988304093567,0.8928571428571429,0.2512562814070351,0.9371998463213166,2259,28
20260401,LOF,intermittent_software_hang,0.2065217391304347,1.0,0.3423423423423423,0.9959305480195332,2269,38
20260401,LSTM Autoencoder,all_faults,0.4521739130434782,0.6582278481012658,0.5360824742268041,0.8006361372404804,2120,158
20260401,LSTM Autoencoder,motor_stall,0.1818181818181818,0.9655172413793104,0.3060109289617486,0.9698934936201624,1991,29
20260401,LSTM Autoencoder,gradual_sensor_drift,0.1818181818181818,0.9655172413793104,0.3060109289617486,0.9590143766037472,1991,29
20260401,LSTM Autoencoder,accelerated_battery_degradation,0.015625,0.0512820512820512,0.0239520958083832,0.4222405185707938,2001,39
20260401,LSTM Autoencoder,gps_jitter_spoofing,0.1063829787234042,0.5357142857142857,0.1775147928994082,0.8409421872724625,1990,28
20260401,LSTM Autoencoder,intermittent_software_hang,0.197452229299363,0.9393939393939394,0.3263157894736842,0.925709696351898,1995,33
20260402,Isolation Forest,all_faults,0.2763819095477386,0.3160919540229885,0.2949061662198391,0.7597257076762607,2400,174
20260402,Isolation Forest,motor_stall,0.1578947368421052,0.7105263157894737,0.2583732057416268,0.9465999905423936,2264,38
20260402,Isolation Forest,gradual_sensor_drift,0.0709677419354838,0.3142857142857143,0.1157894736842105,0.8023616993967398,2261,35
20260402,Isolation Forest,accelerated_battery_degradation,0.0,0.0,0.0,0.6390904692791486,2265,39
20260402,Isolation Forest,gps_jitter_spoofing,0.0526315789473684,0.2666666666666666,0.0879120879120879,0.6283168613357293,2256,30
20260402,Isolation Forest,intermittent_software_hang,0.0588235294117647,0.28125,0.0972972972972973,0.7613993710691824,2258,32
20260402,One-Class SVM,all_faults,0.4381443298969072,0.9770114942528736,0.604982206405694,0.9833834205987751,2400,174
20260402,One-Class SVM,motor_stall,0.1484375,1.0,0.2585034013605442,0.9971508961081952,2264,38
20260402,One-Class SVM,gradual_sensor_drift,0.1349206349206349,0.9714285714285714,0.2369337979094076,0.9704530868951352,2261,35
20260402,One-Class SVM,accelerated_battery_degradation,0.1517509727626459,1.0,0.2635135135135135,0.988527196074366,2265,39
20260402,One-Class SVM,gps_jitter_spoofing,0.110204081632653,0.9,0.1963636363636363,0.9603474094040132,2256,30
20260402,One-Class SVM,intermittent_software_hang,0.128,1.0,0.226950354609929,0.9965043800539084,2258,32
20260402,LOF,all_faults,0.5074183976261127,0.9827586206896552,0.6692759295499021,0.9855005111999257,2400,174
20260402,LOF,motor_stall,0.1862745098039215,1.0,0.3140495867768595,0.9987468671679198,2264,38
20260402,LOF,gradual_sensor_drift,0.17,0.9714285714285714,0.2893617021276595,0.9740084713130536,2261,35
20260402,LOF,accelerated_battery_degradation,0.1902439024390244,1.0,0.319672131147541,0.9901168014375562,2265,39
20260402,LOF,gps_jitter_spoofing,0.1443298969072164,0.9333333333333332,0.25,0.9651841868823,2256,30
20260402,LOF,intermittent_software_hang,0.1616161616161616,1.0,0.2782608695652174,0.9957603324348608,2258,32
20260402,LSTM Autoencoder,all_faults,0.3705035971223021,0.6242424242424243,0.4650112866817156,0.7999038983182205,2120,165
20260402,LSTM Autoencoder,motor_stall,0.1745283018867924,0.9736842105263158,0.296,0.9896890564005922,1993,38
20260402,LSTM Autoencoder,gradual_sensor_drift,0.1586538461538461,0.9705882352941176,0.2727272727272727,0.9570482924627652,1989,34
20260402,LSTM Autoencoder,accelerated_battery_degradation,0.0,0.0,0.0,0.4242507705423307,1994,39
20260402,LSTM Autoencoder,gps_jitter_spoofing,0.0789473684210526,0.6818181818181818,0.1415094339622641,0.8744478028365497,1977,22
20260402,LSTM Autoencoder,intermittent_software_hang,0.0932642487046632,0.5625,0.16,0.8141464194373401,1987,32
20260403,Isolation Forest,all_faults,0.4112903225806452,0.2982456140350877,0.3457627118644067,0.8860580492655296,2400,171
20260403,Isolation Forest,motor_stall,0.1978021978021978,0.72,0.3103448275862069,0.9755406011664424,2254,25
20260403,Isolation Forest,gradual_sensor_drift,0.0,0.0,0.0,0.8434611933602513,2269,40
